station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Wembley Stadium,98494,228492,29712,0,WCX,North West and Central,Brent
Wemyss Bay,44978,73650,4616,0,WMS,Scotland,Inverclyde
Wendover,94538,85712,87886,0,WND,North West and Central,Buckinghamshire
Wennington,670,2934,0,0,WNN,North West and Central,Lancashire
West Allerton,18876,17122,10982,0,WSA,North West and Central,Liverpool
West Brompton,941762,1531074,554184,0,WBP,Southern,Hammersmith and Fulham
West Byfleet,237076,274916,156194,0,WBY,Southern,Surrey
West Calder,25320,37394,5826,0,WCL,Scotland,West Lothian
West Croydon,908326,1603400,636306,240763,WCY,Southern,Croydon
West Drayton,529520,975786,225930,0,WDT,Wales and Western,Hillingdon
West Dulwich,221600,315100,90950,0,WDU,Southern,Southwark
West Ealing,262602,412160,99662,28755,WEA,Wales and Western,Ealing
West Ham,2408822,3693714,1348364,5371,WEH,Eastern,Newham
West Hampstead,842638,1488690,566186,447356,WHD,Eastern,Camden
West Hampstead Thameslink,699594,1147498,385422,659187,WHP,Eastern,Camden
West Horndon,119314,56666,54024,0,WHR,Eastern,Essex
West Kilbride,21918,50694,5642,0,WKB,Scotland,North Ayrshire
West Kirby,182672,619008,89454,0,WKI,North West and Central,Wirral
West Malling,108550,228232,122136,0,WMA,Southern,Kent
West Norwood,283886,433072,197390,17524,WNW,Southern,Lambeth
West Ruislip,59446,50912,10326,2648,WRU,North West and Central,Hillingdon
West Runton,20316,10968,550,0,WRN,Eastern,Norfolk
West St Leonards,23900,44426,33804,0,WLD,Southern,East Sussex
West Sutton,70680,81092,32016,0,WSU,Southern,Sutton
West Wickham,178844,231734,46450,0,WWI,Southern,Bromley
West Worthing,89716,270124,96510,0,WWO,Southern,West Sussex
Westbury,123080,281560,34330,164011,WSB,Wales and Western,Wiltshire
Westcliff,320374,275578,205654,0,WCF,Eastern,Southend-on-Sea
Westcombe Park,226940,294260,90246,0,WCB,Southern,Greenwich
Westenhanger,9296,16654,19142,0,WHA,Southern,Kent
Wester Hailes,27754,11526,1168,0,WTA,Scotland,City of Edinburgh
Westerfield,5780,6072,1136,4092,WFI,Eastern,Suffolk
Westerton,95462,237718,49008,14546,WES,Scotland,East Dunbartonshire
Westgate-On-Sea,27098,45616,32782,0,WGA,Southern,Kent
Westhoughton,64226,64582,36040,0,WHG,North West and Central,Bolton
Weston Milton,30138,32220,4606,0,WNM,Wales and Western,North Somerset
Weston-Super-Mare,179522,530582,67806,9719,WSM,Wales and Western,North Somerset
Wetheral,7760,20464,3124,0,WRL,Eastern,Cumbria
Weybridge,540448,471272,222176,420259,WYB,Southern,Surrey
Weymouth,75048,455556,13268,4020,WEY,Southern,Dorset
Whaley Bridge,28660,53160,14270,0,WBR,North West and Central,Derbyshire
Whalley (Lancs),16416,49878,7668,0,WHE,North West and Central,Lancashire
Whatstandwell,6584,14336,344,0,WTS,Eastern,Derbyshire
Whifflet,39932,68942,14842,2817,WFF,Scotland,North Lanarkshire
Whimple,8250,22766,5458,0,WHM,Southern,Devon
Whinhill,6468,12852,2972,0,WNL,Scotland,Inverclyde
Whiston,52654,73794,38474,0,WHN,North West and Central,Knowsley
Whitby,19446,72552,27640,0,WTB,Eastern,North Yorkshire
Whitchurch (Cardiff),7644,358,1308,0,WHT,Wales and Western,Cardiff
Whitchurch (Hampshire),25372,68068,30894,0,WCH,Southern,Hampshire
Whitchurch (Shropshire),51716,35126,7292,0,WTC,Wales and Western,Shropshire
White Hart Lane,443994,922212,219456,0,WHL,Eastern,Haringey
White Notley,3182,3204,1022,0,WNY,Eastern,Essex
Whitechapel,2833520,5159670,1280292,125,ZLW,Eastern,Tower Hamlets
Whitecraigs,46648,96642,9076,0,WCR,Scotland,East Renfrewshire
Whitehaven,57262,146782,17186,0,WTH,North West and Central,Cumbria
Whitland,19582,6586,3530,1610,WTL,Wales and Western,Carmarthenshire
Whitley Bridge,414,28,20,0,WBD,Eastern,North Yorkshire
Whitlocks End,45438,59512,12870,0,WTE,North West and Central,Solihull
Whitstable,100308,378516,156036,0,WHI,Southern,Kent
Whittlesea,14720,7590,4126,0,WLE,Eastern,Cambridgeshire
Whittlesford Parkway,62108,146034,83666,0,WLF,Eastern,Cambridgeshire
Whitton (London),281684,373424,127266,0,WTN,Southern,Richmond upon Thames
Whitwell (Derbyshire),7226,4948,1398,0,WWL,Eastern,Derbyshire
Whyteleafe,74124,101616,25958,0,WHY,Southern,Surrey
Whyteleafe South,33036,37346,14770,0,WHS,Southern,Surrey
