station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Banavie,1874,2354,0,0,BNV,Scotland,Highland
Banbury,502488,1206318,176642,168642,BAN,North West and Central,Oxfordshire
Bangor (Gwynedd),145268,284924,14598,250,BNG,Wales and Western,Gwynedd
Bank Hall,33456,73272,78112,0,BAH,North West and Central,Liverpool
Banstead,36708,44920,12948,0,BAD,Southern,Surrey
Barassie,23616,46252,9666,0,BSS,Scotland,South Ayrshire
Bardon Mill,1800,5690,0,0,BLL,Eastern,Northumberland
Bare Lane,14882,31032,45726,0,BAR,North West and Central,Lancashire
Bargeddie,17872,32288,6802,0,BGI,Scotland,North Lanarkshire
Bargoed,75272,3794,20474,0,BGD,Wales and Western,Caerphilly
Barking,3444858,5430746,2356246,512692,BKG,Eastern,Barking and Dagenham
Barming,42040,92864,25228,0,BMG,Southern,Kent
Barmouth,68842,23216,32838,0,BRM,Wales and Western,Gwynedd
Barnehurst,277812,365168,164222,0,BNH,Southern,Bexley
Barnes,547504,773524,405718,6165,BNS,Southern,Richmond upon Thames
Barnes Bridge,203148,280164,120308,0,BNI,Southern,Richmond upon Thames
Barnetby,6314,32520,3448,2865,BTB,Eastern,North Lincolnshire
Barnham,165916,289608,390854,625576,BAA,Southern,West Sussex
Barnhill,13436,23556,5568,0,BNL,Scotland,Glasgow City
Barnsley,398256,450026,184772,19202,BNY,Eastern,Barnsley
Barnstaple,57824,258966,106386,0,BNP,Wales and Western,Devon
Barnt Green,69396,52870,71014,38522,BTG,North West and Central,Worcestershire
Barrhead,100654,172166,76512,0,BRR,Scotland,East Renfrewshire
Barrhill,1336,1946,148,0,BRL,Scotland,South Ayrshire
Barrow Haven,368,422,0,0,BAV,Eastern,North Lincolnshire
Barrow-In-Furness,112898,359214,50070,20919,BIF,North West and Central,Cumbria
Barrow-Upon-Soar,25204,21570,11914,0,BWS,Eastern,Leicestershire
Barry,255722,17512,75912,3459,BRY,Wales and Western,Vale of Glamorgan
Barry Docks,124228,5392,39882,0,BYD,Wales and Western,Vale of Glamorgan
Barry Island,215790,19086,68808,0,BYI,Wales and Western,Vale of Glamorgan
Barry Links,178,66,0,0,BYL,Scotland,Angus
Barton-On-Humber,7956,12060,322,0,BAU,Eastern,North Lincolnshire
Basildon,813504,640338,569682,0,BSO,Eastern,Essex
Basingstoke,802502,2319376,540330,1368976,BSK,Southern,Hampshire
Bat and Ball,45560,41082,47184,0,BBL,Southern,Kent
Bath Spa,708934,3135652,241118,131628,BTH,Wales and Western,Bath and North East Somerset
Bathgate,196906,329112,74456,0,BHG,Scotland,West Lothian
Batley,103528,90576,46778,0,BTL,Eastern,Kirklees
Battersby,360,1632,744,0,BTT,Eastern,North Yorkshire
Battersea Park,346500,514462,355938,331,BAK,Southern,Wandsworth
Battle,63730,190916,86140,0,BAT,Southern,East Sussex
Battlesbridge,5874,6626,6212,0,BLB,Eastern,Essex
Bayford,12536,19412,2590,0,BAY,Eastern,Hertfordshire
Beaconsfield,279038,312154,135890,0,BCF,North West and Central,Buckinghamshire
Bearley,752,642,0,0,BER,North West and Central,Warwickshire
Bearsden,68768,128634,24758,0,BRN,Scotland,East Dunbartonshire
Bearsted,43794,85950,73010,0,BSD,Southern,Kent
Beasdale,92,70,0,0,BSL,Scotland,Highland
Beaulieu Road,2284,8112,1436,0,BEU,Southern,Hampshire
Beauly,23000,4800,2378,0,BEL,Scotland,Highland
Bebington,288102,292170,98082,0,BEB,North West and Central,Wirral
Beccles,29996,63008,4834,0,BCC,Eastern,Suffolk
Beckenham Hill,85586,133852,45692,0,BEC,Southern,Lewisham
Beckenham Junction,405798,648596,219448,42794,BKJ,Southern,Bromley
Bedford,308066,1545696,470602,29922,BDM,Eastern,Bedford
Bedford St Johns,14368,72092,21948,0,BSJ,Eastern,Bedford
Bedhampton,29190,41250,16444,0,BDH,Southern,Hampshire
Bedminster,21902,37080,4082,0,BMT,Wales and Western,Bristol
Bedworth,23256,10212,4946,0,BEH,North West and Central,Warwickshire
Bedwyn,6266,56624,11290,0,BDW,Wales and Western,Wiltshire
Beeston,173154,130608,23846,37678,BEE,Eastern,Nottinghamshire
Bekesbourne,9840,8704,1040,0,BKS,Southern,Kent
Belle Vue,4030,3688,926,0,BLV,North West and Central,Manchester
Bellgrove,128860,251332,41600,9646,BLG,Scotland,Glasgow City
Bellingham,139738,178658,143632,0,BGM,Southern,Lewisham
Bellshill,107274,188680,84622,19796,BLH,Scotland,North Lanarkshire
Belmont,37254,38086,32956,0,BLM,Southern,Sutton
Belper,46574,90014,9226,2545,BLP,Eastern,Derbyshire
Beltring,3220,3242,4098,0,BEG,Southern,Kent
Belvedere,243014,348256,171376,0,BVD,Southern,Bexley
Bempton,2264,14980,832,0,BEM,Eastern,East Riding of Yorkshire
Ben Rhydding,68078,47140,30168,0,BEY,Eastern,Bradford
Benfleet,784082,625404,650288,0,BEF,Eastern,Essex
Bentham,5142,19508,894,0,BEN,North West and Central,North Yorkshire
Bentley (Hampshire),23474,23220,18070,0,BTY,Southern,Hampshire
Bentley (South Yorkshire),32476,45728,15838,0,BYK,Eastern,Doncaster
Bere Alston,3932,17474,6182,0,BAS,Wales and Western,Devon
Bere Ferrers,1022,7046,2718,0,BFE,Wales and Western,Devon
Berkhamsted,267840,425332,90862,0,BKM,North West and Central,Hertfordshire
Berkswell,43190,71346,47812,0,BKW,North West and Central,Solihull
Bermuda Park,17032,7250,1330,0,BEP,North West and Central,Warwickshire
Berney Arms,412,448,8,0,BYA,Eastern,Norfolk
Berry Brow,7216,7462,7150,0,BBW,Eastern,Kirklees
Berrylands,80964,124434,28082,0,BRS,Southern,Kingston upon Thames
Berwick (Sussex),13248,36102,17974,0,BRK,Southern,East Sussex
Berwick-Upon-Tweed,0,578588,11278,1065,BWK,Eastern,Northumberland
Bescar Lane,908,1166,442,0,BES,North West and Central,Lancashire
Bescot Stadium,26262,45798,18554,0,BSC,North West and Central,Sandwell
Betchworth,5094,4774,2284,0,BTO,Southern,Surrey
Bethnal Green,363032,613186,174256,0,BET,Eastern,Tower Hamlets
Betws-y-Coed,13924,10680,112,0,BYC,Wales and Western,Conwy
Beverley,82708,349516,85804,4,BEV,Eastern,East Riding of Yorkshire
Bexhill,237502,492592,567422,0,BEX,Southern,East Sussex
Bexley,291718,375500,100592,0,BXY,Southern,Bexley
Bexleyheath,534948,672866,239262,0,BXH,Southern,Bexley
Bicester North,140758,290500,81222,19850,BCS,North West and Central,Oxfordshire
Bicester Village,158166,894498,125202,509,BIT,North West and Central,Oxfordshire
Bickley,177786,228796,71872,4675,BKL,Southern,Bromley
Bidston,84132,98538,54324,68227,BID,North West and Central,Wirral
Biggleswade,186592,300802,104860,0,BIW,Eastern,Central Bedfordshire
Bilbrook,43242,20822,15738,0,BBK,North West and Central,Staffordshire
Billericay,545702,467808,432694,0,BIC,Eastern,Essex
Billingham,22666,44194,8202,0,BIL,Eastern,Stockton-on-Tees
Billingshurst,68544,146790,94894,0,BIG,Southern,West Sussex
Bingham,17560,29254,8960,0,BIN,Eastern,Nottinghamshire
Bingley,247622,387980,171220,0,BIY,Eastern,Bradford
Birchgrove,12472,554,4046,0,BCG,Wales and Western,Cardiff
Birchington-On-Sea,30462,75646,176728,0,BCH,Southern,Kent
Birchwood,145344,137296,47550,0,BWD,North West and Central,Warrington
Birkbeck,22602,23174,9328,0,BIK,Southern,Bromley
Birkdale,120212,588894,142604,0,BDL,North West and Central,Sefton
Birkenhead Central,220030,260662,114808,0,BKC,North West and Central,Wirral
Birkenhead Hamilton Square,576890,422026,224290,290032,BKQ,North West and Central,Wirral
Birkenhead North,381270,192880,107058,68755,BKN,North West and Central,Wirral
Birkenhead Park,233436,198168,104338,0,BKP,North West and Central,Wirral
Birmingham International,696238,1475258,239812,92898,BHI,North West and Central,Solihull
Birmingham Moor Street,1193004,2187472,1003130,183875,BMO,North West and Central,Birmingham
Birmingham New Street,5928228,12691080,4063218,3508541,BHM,North West and Central,Birmingham
Birmingham Snow Hill,563980,1009454,738060,91146,BSW,North West and Central,Birmingham
Bishop Auckland,30576,98132,17458,0,BIA,Eastern,County Durham
Bishopbriggs,102348,284234,34902,0,BBG,Scotland,East Dunbartonshire
Bishops Stortford,572674,858940,571924,34895,BIS,Eastern,Hertfordshire
Bishopstone (Sussex),9152,24056,3242,0,BIP,Southern,East Sussex
Bishopton (Renfrewshire),106030,223942,73356,0,BPT,Scotland,Renfrewshire
Bitterne,18464,28672,8252,0,BTE,Southern,Southampton
Blackburn,220954,716600,127808,62210,BBN,North West and Central,Blackburn with Darwen
Blackheath,547234,1000510,285186,12920,BKH,Southern,Lewisham
Blackhorse Road,510358,858824,383938,0,BHO,Eastern,Waltham Forest
Blackpool North,194416,1541182,46106,1261,BPN,North West and Central,Blackpool
Blackpool Pleasure Beach,16516,119498,1120,0,BPB,North West and Central,Blackpool
Blackpool South,14882,78480,4622,7,BPS,North West and Central,Blackpool
Blackridge,10378,14262,2446,0,BKR,Scotland,West Lothian
Blackrod,27572,33388,71084,0,BLK,North West and Central,Bolton
Blackwater,68702,162438,32414,0,BAW,Southern,Hampshire
Blaenau Ffestiniog,9100,8858,0,0,BFF,Wales and Western,Gwynedd
Blair Atholl,3624,8246,0,0,BLA,Scotland,Perth and Kinross
Blairhill,57180,109530,36416,0,BAI,Scotland,North Lanarkshire
Blake Street,57304,73104,68504,0,BKT,North West and Central,Birmingham
Blakedown,12530,7964,40316,0,BKD,North West and Central,Worcestershire
Blantyre,69084,132338,32900,0,BLT,Scotland,South Lanarkshire
Blaydon,7050,13246,8528,0,BLO,Eastern,Gateshead
Bleasby,3222,474,46,0,BSB,Eastern,Nottinghamshire
Bletchley,98874,320706,161568,39203,BLY,North West and Central,Milton Keynes
Bloxwich,27484,32086,754,0,BLX,North West and Central,Walsall
Bloxwich North,26128,32974,424,0,BWN,North West and Central,Walsall
Blundellsands and Crosby,249594,730376,216648,0,BLN,North West and Central,Sefton
Blythe Bridge,40660,21782,8148,0,BYB,Eastern,Staffordshire
Bodmin Parkway,7134,206244,16992,0,BOD,Wales and Western,Cornwall
Bodorgan,2468,1834,0,0,BOR,Wales and Western,Isle of Anglesey
Bognor Regis,175852,485138,245790,0,BOG,Southern,West Sussex
Bogston,5514,8020,2764,0,BGS,Scotland,Inverclyde
Bolton,565094,1359734,419288,263781,BON,North West and Central,Bolton
Bolton-Upon-Dearne,26302,21048,15474,0,BTD,Eastern,Barnsley
Bookham,52902,61622,19136,0,BKA,Southern,Surrey
Bootle (Cumbria),4068,6986,1100,0,BOC,North West and Central,Cumbria
Bootle New Strand,196416,454814,138488,511,BNW,North West and Central,Sefton
Bootle Oriel Road,109998,252156,141612,0,BOT,North West and Central,Sefton
Bordesley,1108,7976,954,0,BBS,North West and Central,Birmingham
Borough Green and Wrotham,96506,106932,65912,0,BRG,Southern,Kent
Borth,24740,8024,0,0,BRH,Wales and Western,Ceredigion
Bosham,15106,23664,9476,0,BOH,Southern,West Sussex
Boston,60970,101090,8916,0,BSN,Eastern,Lincolnshire
Botley,27340,54980,22060,0,BOE,Southern,Hampshire
Bottesford,18134,13740,3878,0,BTF,Eastern,Leicestershire
Bourne End,48036,65420,53456,65042,BNE,Wales and Western,Buckinghamshire
Bournemouth,360484,1556186,93500,39650,BMH,Southern,"Bournemouth, Christchurch and Poole"
Bournville,156364,247022,107320,0,BRV,North West and Central,Birmingham
Bow Brickhill,4298,3496,9252,0,BWB,North West and Central,Milton Keynes
Bow Street,9320,3466,908,0,BOW,Wales and Western,Ceredigion
Bowes Park,115264,123720,67570,0,BOP,Eastern,Haringey
Bowling,4910,9076,4288,0,BWG,Scotland,West Dunbartonshire
Box Hill and Westhumble,23126,66038,4348,0,BXW,Southern,Surrey
Bracknell,392760,594898,203198,0,BCE,Southern,Bracknell Forest
Bradford Forster Square,449148,514706,337412,27144,BDQ,Eastern,Bradford
Bradford Interchange,471630,971982,318776,88951,BDI,Eastern,Bradford
Bradford-On-Avon,145776,180924,24858,3594,BOA,Wales and Western,Wiltshire
Brading,2712,5302,2396,0,BDN,Southern,Isle of Wight
Braintree,102480,172966,185032,0,BTR,Eastern,Essex
Braintree Freeport,27448,46228,17370,0,BTP,Eastern,Essex
Bramhall,54644,60208,23354,0,BML,North West and Central,Stockport
Bramley (Hampshire),38878,107884,35840,0,BMY,Southern,Hampshire
Bramley (West Yorkshire),93642,62534,39372,0,BLE,Eastern,Leeds
Brampton (Cumbria),4372,7168,416,0,BMP,Eastern,Cumbria
Brampton (Suffolk),2446,4426,802,0,BRP,Eastern,Suffolk
Branchton,22732,33184,13046,0,BCN,Scotland,Inverclyde
Brandon,43226,40838,9618,0,BND,Eastern,Norfolk
Branksome,42526,96948,10454,0,BSM,Southern,"Bournemouth, Christchurch and Poole"
Braystones,232,1244,0,0,BYS,North West and Central,Cumbria
Bredbury,57248,54658,29430,0,BDY,North West and Central,Stockport
Breich,1556,1550,532,0,BRC,Scotland,West Lothian
Brentford,276136,320098,209778,0,BFD,Southern,Hounslow
Brentwood,707336,858796,294690,0,BRE,Eastern,Essex
Bricket Wood,5470,3994,3596,0,BWO,North West and Central,Hertfordshire
Bridge Of Allan,70912,55818,9602,0,BEA,Scotland,Stirling
Bridge Of Orchy,2584,1542,0,0,BRO,Scotland,Argyll and Bute
Bridgend,507378,304622,125180,27812,BGN,Wales and Western,Bridgend
Bridgeton,122396,288512,65392,0,BDG,Scotland,Glasgow City
Bridgwater,102614,229746,19260,0,BWT,Wales and Western,Somerset
Bridlington,74948,331734,35876,1557,BDT,Eastern,East Riding of Yorkshire
Brierfield,8534,13336,5438,0,BRF,North West and Central,Lancashire
Brigg,120,512,0,0,BGG,Eastern,North Lincolnshire
Brighouse,110338,144804,32222,0,BGH,Eastern,Calderdale
Brighton,1959182,7894642,1374388,926441,BTN,Southern,Brighton and Hove
Brimsdown,275026,403236,143672,0,BMD,Eastern,Enfield
Brinnington,30482,32298,15696,0,BNT,North West and Central,Stockport
Bristol Parkway,226974,1135724,51422,549141,BPW,Wales and Western,South Gloucestershire
Bristol Temple Meads,1361470,4898884,367596,970539,BRI,Wales and Western,Bristol
Brithdir,6208,250,2682,0,BHD,Wales and Western,Caerphilly
Briton Ferry,15772,2206,2984,0,BNF,Wales and Western,Neath Port Talbot
Brixton,200704,304698,140316,0,BRX,Southern,Lambeth
Broad Green,129312,107922,67364,0,BGE,North West and Central,Liverpool
Broadbottom,35386,41482,22218,0,BDB,North West and Central,Tameside
Broadstairs,81604,335824,77120,0,BSR,Southern,Kent
Brockenhurst,197882,439282,96418,200439,BCU,Southern,Hampshire
Brockholes,13558,14820,2928,0,BHS,Eastern,Kirklees
Brockley,812338,1536472,313432,0,BCY,Southern,Lewisham
Bromborough,170418,173606,96888,0,BOM,North West and Central,Wirral
Bromborough Rake,83254,96050,51762,0,BMR,North West and Central,Wirral
Bromley Cross (Lancs),75746,93080,42424,0,BMC,North West and Central,Bolton
Bromley North,54090,64736,31024,0,BMN,Southern,Bromley
Bromley South,1340534,2431188,827624,570103,BMS,Southern,Bromley
Bromsgrove,189144,147628,78496,0,BMV,North West and Central,Worcestershire
Brondesbury,526516,985042,465136,0,BSY,Eastern,Brent
Brondesbury Park,262868,386782,117558,0,BSP,Eastern,Brent
Brookmans Park,65270,69680,16482,0,BPK,Eastern,Hertfordshire
Brookwood,243388,199042,109516,35208,BKO,Southern,Surrey
Broome,368,84,0,0,BME,Wales and Western,Shropshire
Broomfleet,106,172,308,0,BMF,Eastern,East Riding of Yorkshire
Brora,3964,758,0,0,BRA,Scotland,Highland
Brough,38888,296134,26224,4510,BUH,Eastern,East Riding of Yorkshire
Broughty Ferry,46002,27452,2728,0,BYF,Scotland,Dundee City
Broxbourne,393882,605516,141134,220323,BXB,Eastern,Hertfordshire
Bruce Grove,236618,444816,150264,0,BCV,Eastern,Haringey
Brundall,32002,41844,9160,635,BDA,Eastern,Norfolk
Brundall Gardens,5390,5326,642,0,BGA,Eastern,Norfolk
Brunstane,41440,33694,3662,0,BSU,Scotland,City of Edinburgh
Brunswick,245594,263548,187646,0,BRW,North West and Central,Liverpool
Bruton,14018,24854,1816,0,BRU,Wales and Western,Somerset
Bryn,32612,45754,7230,0,BYN,North West and Central,Wigan
Buckenham,50,250,0,0,BUC,Eastern,Norfolk
Buckley,20070,1298,970,0,BCK,Wales and Western,Flintshire
Bucknell,1176,388,568,0,BUK,Wales and Western,Shropshire
Buckshaw Parkway,75018,151512,41630,0,BSV,North West and Central,Lancashire
Bugle,660,4938,792,0,BGL,Wales and Western,Cornwall
Builth Road,1176,1140,20,0,BHR,Wales and Western,Powys
Bulwell,25462,11796,6246,0,BLW,Eastern,Nottingham
Bures,13186,15060,7466,0,BUE,Eastern,Essex
Burgess Hill,230172,608030,358740,0,BUG,Southern,West Sussex
Burley Park,266192,201806,44698,0,BUY,Eastern,Leeds
Burley-In-Wharfedale,135664,101670,139104,0,BUW,Eastern,Bradford
Burnage,59682,56550,19174,0,BNA,North West and Central,Manchester
Burneside (Cumbria),3252,10974,3392,0,BUD,North West and Central,Cumbria
Burnham (Buckinghamshire),288220,401428,229502,0,BNM,Wales and Western,Slough
Burnham-On-Crouch,47096,60508,45340,0,BUU,Eastern,Essex
Burnley Barracks,10388,13918,2622,0,BUB,North West and Central,Lancashire
Burnley Central,30590,49252,19816,1,BNC,North West and Central,Lancashire
Burnley Manchester Road,120998,265998,34612,7060,BYM,North West and Central,Lancashire
Burnside (South Lanarkshire),32526,88282,11304,0,BUI,Scotland,South Lanarkshire
Burntisland,37214,82796,12788,0,BTS,Scotland,Fife
Burscough Bridge,49190,69094,22580,0,BCB,North West and Central,Lancashire
Burscough Junction,17872,19206,3506,0,BCJ,North West and Central,Lancashire
Bursledon,14084,26996,6742,0,BUO,Southern,Hampshire
Burton Joyce,3276,2462,408,0,BUJ,Eastern,Nottinghamshire
Burton-On-Trent,173534,371466,28162,5217,BUT,Eastern,Staffordshire
Bury St Edmunds,186020,315574,63378,446,BSE,Eastern,Suffolk
Busby,23566,48626,10776,0,BUS,Scotland,East Renfrewshire
Bush Hill Park,265944,376104,50090,0,BHK,Eastern,Enfield
Bushey,295318,470376,59888,0,BSH,North West and Central,Hertfordshire
Butlers Lane,29386,47396,38928,0,BUL,North West and Central,Birmingham
Buxted,20104,31996,16878,0,BXD,Southern,East Sussex
Buxton,53160,178154,40912,0,BUX,North West and Central,Derbyshire
Byfleet and New Haw,117698,106888,53344,0,BFN,Southern,Surrey
Bynea,484,336,0,0,BYE,Wales and Western,Carmarthenshire
Cadoxton,155246,6312,43372,0,CAD,Wales and Western,Vale of Glamorgan
Caergwrle,6740,484,582,0,CGW,Wales and Western,Flintshire
Caerphilly,284144,17880,70888,0,CPH,Wales and Western,Caerphilly
Caersws,14162,13402,3834,0,CWS,Wales and Western,Powys
Caldercruix,16560,24646,10518,0,CAC,Scotland,North Lanarkshire
Caldicot,42444,5642,8752,0,CDT,Wales and Western,Monmouthshire
Caledonian Road and Barnsbury,376172,584100,201224,0,CIR,Eastern,Islington
Calstock,1740,22170,3656,0,CSK,Wales and Western,Cornwall
Cam and Dursley,41646,84158,6090,0,CDU,Wales and Western,Gloucestershire
Camberley,78770,134740,23822,0,CAM,Southern,Surrey
Camborne,31640,192580,56198,0,CBN,Wales and Western,Cornwall
Cambridge,1583962,4267882,1100936,388867,CBG,Eastern,Cambridgeshire
Cambridge Heath,171722,322766,107094,0,CBH,Eastern,Tower Hamlets
Cambridge North,222280,437550,73782,1437,CMB,Eastern,Cambridgeshire
Cambuslang,129722,247570,65762,25888,CBL,Scotland,South Lanarkshire
Camden Road,917376,1662834,491132,9077,CMD,Eastern,Camden
Camelon,41200,40884,12706,0,CMO,Scotland,Falkirk
Canada Water,3877294,7626486,2141170,51,ZCW,Southern,Southwark
Canley,74398,128694,54742,0,CNL,North West and Central,Coventry
Cannock,73640,112480,11840,0,CAO,North West and Central,Staffordshire
Canonbury,618010,1132904,199296,390282,CNN,Eastern,Islington
Canterbury East,174066,472228,124508,8680,CBE,Southern,Kent
Canterbury West,405062,1098902,289736,79889,CBW,Southern,Kent
Cantley,4976,6730,3070,0,CNY,Eastern,Norfolk
Capenhurst,58786,63732,18494,0,CPU,North West and Central,Cheshire West and Chester
Carbis Bay,0,230224,32,0,CBB,Wales and Western,Cornwall
Cardenden,10196,14574,348,0,CDD,Scotland,Fife
Cardiff Bay,209166,23758,82008,0,CDB,Wales and Western,Cardiff
Cardiff Central,3785042,2880758,797578,781852,CDF,Wales and Western,Cardiff
Cardiff Queen Street,1093170,63672,209266,271092,CDQ,Wales and Western,Cardiff
Cardonald,51898,88356,26826,0,CDO,Scotland,Glasgow City
Cardross,15522,30880,64410,0,CDR,Scotland,Argyll and Bute
Carfin,19792,36306,9048,0,CRF,Scotland,North Lanarkshire
Cark and Cartmel,16112,55894,6300,0,CAK,North West and Central,Cumbria
Carlisle,162508,1511740,105110,240695,CAR,North West and Central,Cumbria
Carlton,13920,12092,1598,0,CTO,Eastern,Nottinghamshire
Carluke,53708,81494,19224,0,CLU,Scotland,South Lanarkshire
Carmarthen,146114,89708,20676,8420,CMN,Wales and Western,Carmarthenshire
Carmyle,22414,46322,13534,0,CML,Scotland,Glasgow City
Carnforth,25708,94348,31428,11282,CNF,North West and Central,Lancashire
Carnoustie,41534,37992,3052,0,CAN,Scotland,Angus
Carntyne,63392,117500,22128,0,CAY,Scotland,Glasgow City
Carpenders Park,236088,562764,63726,0,CPK,North West and Central,Hertfordshire
Carrbridge,2418,1296,0,0,CAG,Scotland,Highland
Carshalton,337364,468762,169850,0,CSH,Southern,Sutton
Carshalton Beeches,178072,233936,66376,0,CSB,Southern,Sutton
Carstairs,5420,1298,268,4804,CRS,Scotland,South Lanarkshire
Cartsdyke,16374,30264,13890,0,CDY,Scotland,Inverclyde
Castle Bar Park,17094,15912,8122,0,CBP,Wales and Western,Ealing
Castle Cary,9280,229604,1578,30667,CLC,Wales and Western,Somerset
Castleford,169492,130496,53270,8057,CFD,Eastern,Wakefield
Castleton (Manchester),34132,33518,10566,0,CAS,North West and Central,Rochdale
Castleton Moor,874,3086,772,0,CSM,Eastern,North Yorkshire
Caterham,166526,214812,98510,0,CAT,Southern,Surrey
Catford,188270,239540,153650,89975,CTF,Southern,Lewisham
Catford Bridge,427810,674002,350642,35641,CFB,Southern,Lewisham
Cathays,387976,53172,73582,0,CYS,Wales and Western,Cardiff
Cathcart,65142,185904,37422,609,CCT,Scotland,Glasgow City
Cattal,10758,33286,7378,0,CTL,Eastern,North Yorkshire
Causeland,112,1928,0,0,CAU,Wales and Western,Cornwall
Cefn-Y-Bedd,3378,250,52,0,CYB,Wales and Western,Flintshire
Chadwell Heath,927856,1426768,391176,0,CTH,Eastern,Redbridge
Chafford Hundred Lakeside,631826,928114,356340,0,CFH,Eastern,Thurrock
Chalfont and Latimer,193756,294756,11432,0,CFO,North West and Central,Buckinghamshire
Chalkwell,401214,263798,301146,0,CHW,Eastern,Southend-on-Sea
Chandlers Ford,31998,51522,11136,0,CFR,Southern,Hampshire
Chapel-En-Le-Frith,15660,34524,10024,0,CEF,North West and Central,Derbyshire
Chapelton (Devon),56,86,0,0,CPN,Wales and Western,Devon
Chapeltown (South Yorkshire),130302,66648,57328,0,CLN,Eastern,Sheffield
Chappel and Wakes Colne,5796,11366,5328,0,CWC,Eastern,Essex
Charing (Kent),21784,24168,14556,0,CHG,Southern,Kent
Charing Cross (Glasgow),238510,519562,159630,0,CHC,Scotland,Glasgow City
Charlbury,35054,144592,20210,0,CBY,Wales and Western,Oxfordshire
Charlton,295914,543196,233888,40647,CTN,Southern,Greenwich
Chartham,23020,26050,15122,0,CRT,Southern,Kent
Chassen Road,14040,4600,7526,0,CSR,North West and Central,Trafford
Chatelherault,10212,20790,14958,0,CTE,Scotland,South Lanarkshire
Chatham,495056,718950,515370,14,CTM,Southern,Medway
Chathill,1234,258,0,0,CHT,Eastern,Northumberland
Cheadle Hulme,210556,199090,79918,3937,CHU,North West and Central,Stockport
Cheam,241336,303554,120276,0,CHE,Southern,Sutton
Cheddington,10208,17760,4212,0,CED,North West and Central,Buckinghamshire
Chelford (Cheshire),15658,15858,5322,0,CEL,North West and Central,Cheshire East
Chelmsford,1530932,1672038,1392740,31390,CHM,Eastern,Essex
Chelsfield,166724,97340,81588,0,CLD,Southern,Bromley
Cheltenham Spa,396646,1328196,68868,169069,CNM,Wales and Western,Gloucestershire
Chepstow,80462,49984,16988,0,CPW,Wales and Western,Monmouthshire
Cherry Tree,10262,19340,4896,0,CYT,North West and Central,Blackburn with Darwen
Chertsey,123582,102494,270600,0,CHY,Southern,Surrey
Cheshunt,592214,965674,150878,213352,CHN,Eastern,Hertfordshire
Chessington North,111314,144436,61532,0,CSN,Southern,Kingston upon Thames
Chessington South,97784,96800,41304,0,CSS,Southern,Kingston upon Thames
Chester,1095690,2181600,166078,572877,CTR,North West and Central,Cheshire West and Chester
Chester Road,124030,172638,92956,0,CRD,North West and Central,Birmingham
Chesterfield,218896,915238,70862,172267,CHD,Eastern,Derbyshire
Chester-Le-Street,21696,111634,15362,0,CLS,Eastern,County Durham
Chestfield and Swalecliffe,16480,27260,27324,0,CSW,Southern,Kent
Chetnole,530,1238,0,0,CNO,Southern,Dorset
Chichester,581382,1081196,509914,19347,CCH,Southern,West Sussex
Chilham,7220,19204,13790,0,CIL,Southern,Kent
Chilworth,7418,8388,1396,0,CHL,Southern,Surrey
Chingford,446010,822878,92144,0,CHI,Eastern,Waltham Forest
Chinley,32100,36626,11380,1446,CLY,North West and Central,Derbyshire
Chippenham,196588,795620,132018,24205,CPM,Wales and Western,Wiltshire
Chipstead,24184,27020,6772,0,CHP,Southern,Surrey
Chirk,35282,18018,4466,0,CRK,Wales and Western,Wrexham
Chislehurst,252772,299972,75262,0,CIT,Southern,Bromley
Chiswick,184842,255934,104776,0,CHK,Southern,Hounslow
Cholsey,30532,87822,37096,0,CHO,Wales and Western,Oxfordshire
Chorley,99164,323726,70312,0,CRL,North West and Central,Lancashire
Chorleywood,127980,197424,10338,0,CLW,North West and Central,Hertfordshire
Christchurch,88988,213746,35724,0,CHR,Southern,"Bournemouth, Christchurch and Poole"
Christs Hospital,24812,37224,22160,0,CHH,Southern,West Sussex
Church and Oswaldtwistle,13502,20340,8528,0,CTW,North West and Central,Lancashire
Church Fenton,21586,68078,16140,4374,CHF,Eastern,North Yorkshire
Church Stretton,70752,29828,13850,0,CTT,Wales and Western,Shropshire
Cilmeri,190,230,0,0,CIM,Wales and Western,Powys
City Thameslink,1336858,1160004,497922,37,CTK,Southern,City of London
Clacton-on-Sea,115012,359052,149806,0,CLT,Eastern,Essex
Clandon,38402,40340,14312,0,CLA,Southern,Surrey
Clapham (North Yorkshire),1442,4716,0,0,CPY,North West and Central,North Yorkshire
Clapham High Street,411144,615900,262244,0,CLP,Southern,Lambeth
Clapham Junction,5101074,8833390,3462656,14793662,CLJ,Southern,Wandsworth
Clapton,380310,720512,181096,40,CPT,Eastern,Hackney
Clarbeston Road,2318,1982,360,0,CLR,Wales and Western,Pembrokeshire
Clarkston,62990,150404,20218,0,CKS,Scotland,East Renfrewshire
Claverdon,1250,1136,0,0,CLV,North West and Central,Warwickshire
Claygate,110108,114506,80530,0,CLG,Southern,Surrey
Cleethorpes,26712,198272,3200,0,CLE,Eastern,North East Lincolnshire
Cleland,22194,38870,9102,0,CEA,Scotland,North Lanarkshire
Clifton (Manchester),118,22,0,0,CLI,North West and Central,Salford
Clifton Down,262270,55592,82868,0,CFN,Wales and Western,Bristol
Clitheroe,49132,156522,52138,0,CLH,North West and Central,Lancashire
Clock House,205262,275180,78266,58,CLK,Southern,Bromley
Clunderwen,5616,6766,0,0,CUW,Wales and Western,Pembrokeshire
