item_number,name,year,theme,subtheme,pieces,minifigures,image_URL,price
6766,Rapid River Village,1997,Western,Indians,353,7,http://images.brickset.com/sets/images/6766-1.jpg,NA
6790,Bandit with Gun,1997,Western,Cowboys,21,1,http://images.brickset.com/sets/images/6790-1.jpg,NA
6791,Bandit's Wheelgun,1997,Western,Cowboys,21,1,http://images.brickset.com/sets/images/6791-1.jpg,NA
6799,Showdown Canyon,1997,Western,Cowboys,75,4,http://images.brickset.com/sets/images/6799-1.jpg,NA
6816,Cyber Blaster,1997,Space,UFO,20,1,http://images.brickset.com/sets/images/6816-1.jpg,NA
6818,Cyborg Scout,1997,Space,UFO,36,1,http://images.brickset.com/sets/images/6818-1.jpg,NA
6829,Radon Rover,1997,Space,UFO,53,1,http://images.brickset.com/sets/images/6829-1.jpg,NA
6836,V-Wing Fighter,1997,Space,UFO,40,1,http://images.brickset.com/sets/images/6836-1.jpg,NA
6900,Cyber Saucer,1997,Space,UFO,114,1,http://images.brickset.com/sets/images/6900-1.jpg,NA
6915,Warp Wing Fighter,1997,Space,UFO,236,2,http://images.brickset.com/sets/images/6915-1.jpg,NA
6975,Alien Avenger,1997,Space,UFO,369,4,http://images.brickset.com/sets/images/6975-1.jpg,NA
6979,Interstellar Starfighter,1997,Space,UFO,292,3,http://images.brickset.com/sets/images/6979-1.jpg,NA
6999,Cyber Saucer,1997,Space,UFO,114,1,http://images.brickset.com/sets/images/6999-1.jpg,NA
8205,Bungee Blaster,1997,Technic,,63,NA,http://images.brickset.com/sets/images/8205-1.jpg,NA
8215,Gyro Copter,1997,Technic,,107,NA,http://images.brickset.com/sets/images/8215-1.jpg,NA
8216,Turbo 1,1997,Technic,,97,NA,http://images.brickset.com/sets/images/8216-1.jpg,NA
8229,Tread Trekker,1997,Technic,,185,1,http://images.brickset.com/sets/images/8229-1.jpg,NA
8232,Chopper Force,1997,Technic,,289,1,http://images.brickset.com/sets/images/8232-1.jpg,NA
8250,Search Sub,1997,Technic,,383,1,http://images.brickset.com/sets/images/8250-1.jpg,NA
8277,Giant Model Set,1997,Technic,,554,NA,http://images.brickset.com/sets/images/8277-1.jpg,NA
8299,Search Sub,1997,Technic,,0,1,http://images.brickset.com/sets/images/8299-1.jpg,NA
8414,Mountain Rambler,1997,Technic,,244,NA,http://images.brickset.com/sets/images/8414-1.jpg,NA
8437,Future Car,1997,Technic,,419,NA,http://images.brickset.com/sets/images/8437-1.jpg,NA
8459,Pneumatic Front-End Loader,1997,Technic,,591,NA,http://images.brickset.com/sets/images/8459-1.jpg,NA
8479,Barcode Multi-Set,1997,Technic,,1280,NA,http://images.brickset.com/sets/images/8479-1.jpg,NA
8735,"Motor Set, 9 V",1997,Technic,Supplementary,60,NA,http://images.brickset.com/sets/images/8735-1.jpg,NA
9279,Small Building Plates,1997,Dacta,System,9,NA,http://images.brickset.com/sets/images/9279-1.jpg,NA
9376,Castle Set,1997,Dacta,Castle,321,14,http://images.brickset.com/sets/images/9376-1.jpg,NA
9453,Universal School Set,1997,Dacta,,716,NA,http://images.brickset.com/sets/images/9453-1.jpg,NA
9615,Motor Add-On for Simple Mechanisms,1997,Dacta,Technic,3,NA,http://images.brickset.com/sets/images/9615-1.jpg,NA
9616,Wheels and Axles Set,1997,Dacta,Technic,74,1,http://images.brickset.com/sets/images/9616-1.jpg,NA
9630,Simple Mechanisms Set,1997,Dacta,Technic,277,NA,http://images.brickset.com/sets/images/9630-1.jpg,NA
9654,Early Simple Machines II Set,1997,Dacta,,99,2,http://images.brickset.com/sets/images/9654-1.jpg,NA
9655,Fun Time Gears II Set,1997,Dacta,,50,NA,http://images.brickset.com/sets/images/9655-1.jpg,NA
1728,Crystal Crawler,1996,Aquazone,Aquanauts,97,1,http://images.brickset.com/sets/images/1728-1.jpg,NA
1737,Scorpion Detector,1996,Space,Exploriens,196,2,http://images.brickset.com/sets/images/1737-1.jpg,NA
1747,Treasure Surprise,1996,Pirates,,22,1,http://images.brickset.com/sets/images/1747-1.jpg,NA
1749,Paravane,1996,Aquazone,Aquanauts,16,1,http://images.brickset.com/sets/images/1749-1.jpg,NA
1776,Bonus Value Bucket,1996,Basic,,950,NA,http://images.brickset.com/sets/images/1776-1.jpg,NA
1796,Freestyle Bucket,1996,Freestyle,,641,NA,http://images.brickset.com/sets/images/1796-1.jpg,NA
1797,Bonus Bucket,1996,Duplo,,90,NA,http://images.brickset.com/sets/images/1797-1.jpg,NA
1802,Tidy Treasure,1996,Pirates,,22,1,http://images.brickset.com/sets/images/1802-1.jpg,NA
1804,Crossbow Boat,1996,Castle,Royal Knights,21,1,http://images.brickset.com/sets/images/1804-1.jpg,NA
1808,Light Aircraft and Ground Support,1996,Town,Special,122,2,http://images.brickset.com/sets/images/1808-1.jpg,NA
1817,Sea Plane with Hut and Boat,1996,Town,Special,135,3,http://images.brickset.com/sets/images/1817-1.jpg,NA
1818,Aircraft and Ground Support Equipment and Vehicle.,1996,Town,Special,203,3,http://images.brickset.com/sets/images/1818-1.jpg,NA
1821,Rally Racers,1996,Town,Racing,196,3,http://images.brickset.com/sets/images/1821-1.jpg,NA
1843,(Unnamed),1996,Castle,Royal Knights,48,NA,http://images.brickset.com/sets/images/1843-2.jpg,NA
1854,House with Roof-Windows,1996,Town,Special,144,2,http://images.brickset.com/sets/images/1854-1.jpg,NA
2150,Train Station,1996,Trains,9 V,599,8,http://images.brickset.com/sets/images/2150-1.jpg,NA
2673,Motorcycle Patrol,1996,Duplo,,5,1,http://images.brickset.com/sets/images/2673-1.jpg,NA
2674,Racing Team,1996,Duplo,,7,2,http://images.brickset.com/sets/images/2674-1.jpg,NA
2695,Pony Carriage,1996,Duplo,,3,1,http://images.brickset.com/sets/images/2695-1.jpg,NA
2696,Farm Tractor,1996,Duplo,,10,1,http://images.brickset.com/sets/images/2696-1.jpg,NA
2731,Push-Along Play Train,1996,Duplo,Trains,9,1,http://images.brickset.com/sets/images/2731-1.jpg,NA
2739,Tip Wagon,1996,Duplo,Trains,10,NA,http://images.brickset.com/sets/images/2739-1.jpg,NA
2745,Deluxe Electric Train Set,1996,Duplo,Trains,83,3,http://images.brickset.com/sets/images/2745-1.jpg,NA
4002,Riptide Racer,1996,Boats,,54,1,http://images.brickset.com/sets/images/4002-1.jpg,NA
4012,Wave Cops,1996,Boats,,99,2,http://images.brickset.com/sets/images/4012-1.jpg,NA
4022,C26 Sea Cutter,1996,Boats,,193,3,http://images.brickset.com/sets/images/4022-1.jpg,NA
4135,"Freestyle Canister, 3+",1996,Freestyle,,121,NA,http://images.brickset.com/sets/images/4135-1.jpg,NA
4147,"Freestyle Canister, 4+",1996,Freestyle,,187,NA,http://images.brickset.com/sets/images/4147-1.jpg,NA
4532,Manual Level Crossing,1996,Trains,9 V,135,1,http://images.brickset.com/sets/images/4532-1.jpg,NA
4559,Cargo Railway,1996,Trains,9 V,842,7,http://images.brickset.com/sets/images/4559-1.jpg,NA
4565,Freight and Crane Railway,1996,Trains,9 V,914,3,http://images.brickset.com/sets/images/4565-1.jpg,NA
5029,"Duplo Family, Caucasian",1996,Service Packs,Duplo,5,6,http://images.brickset.com/sets/images/5029-1.jpg,NA
5087,Duplo Toolo Wrench,1996,Service Packs,Toolo,1,NA,http://images.brickset.com/sets/images/5087-1.jpg,NA
5089,"Duplo Family, African American",1996,Service Packs,Duplo,5,6,http://images.brickset.com/sets/images/5089-1.jpg,NA
5090,"Duplo Family, Asian",1996,Service Packs,Duplo,5,6,http://images.brickset.com/sets/images/5090-1.jpg,NA
5091,"Duplo Family, Hispanic",1996,Service Packs,Duplo,5,6,http://images.brickset.com/sets/images/5091-1.jpg,NA
5128,"Transparent Plates, Bricks, Toolholders",1996,Service Packs,,80,NA,http://images.brickset.com/sets/images/5128-1.jpg,NA
5129,Space Accessories (Exploriens),1996,Service Packs,Space,25,NA,http://images.brickset.com/sets/images/5129-1.jpg,NA
5130,"Windows, Seats, Steering Wheels",1996,Service Packs,,14,NA,http://images.brickset.com/sets/images/5130-1.jpg,NA
