Class,Order,Family,Genus,Species,Common_name,Location,Country,Region,Latitude,Longitude,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome
Reptilia,Squamata,Pythonidae,Python,regius,Ball python / Royal python,"Stubbs creek game reserve/forest reserve, Nigeria",Nigeria,Africa,4.63333,7.91667,Terrestrial,Afrotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Reptilia,Squamata,Elapidae,Dendroaspis,jamesoni,Jamesons mamba,"Stubbs creek game reserve/forest reserve, Nigeria",Nigeria,Africa,4.63333,7.91667,Terrestrial,Afrotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Reptilia,Squamata,Elapidae,Notechis,scutatus,Tiger snake,"Carnac Island Nature Reserve, Australia",Australia,Oceania,-32.11667,115.65,Terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Reptilia,Squamata,Lacertidae,Acanthodactylus,scutellatus,Nidua fringe-fingered lizard,"Sulaiybia Experimental Station, Al-Burgan oil field, 20km south of Kuwait city",Kuwait,Asia,29.45,47.11667,Terrestrial,Palearctic,Deserts and xeric shrublands,NULL,NULL,NULL,NULL,NULL
Reptilia,Testudines,Emydidae,Glyptemys,insculpta,Wood turtle,"ALC + BLC Populations, Nr Bethany and Woodbridge, South-central Connecticut",United States,North America,41.31,-72.92389,Terrestrial,Nearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Reptilia,Squamata,Viperidae,Vipera,berus,European adder,"Stora Hästholmen, 0.5km from the mainland",Sweden,Europe,57.76667,11.78333,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Rodentia,Sciuridae,Marmota,marmota,Alpine marmot,"Central Massif, France",France,Europe,45.775,2.96667,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,Hawksbill turtle,Tortuguero,Costa Rica,Latin America and Caribbean,10.43333,-83.43333,Marine,NULL,NULL,NULL,NULL,Atlantic tropical and subtropical,Caribbean Sea and Gulf of Mexico,Unknown
Reptilia,Testudines,Emydidae,Clemmys,guttata,Spotted turtle,"White oak bird sanctuary and surrounding pasture, 3 miles north of Manheim, Lancaster, Pennsylvania",United States,North America,40.16278,-76.395,Terrestrial,Nearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Carnivora,Viverridae,Genetta,genetta,Common genet,"Aragón region, North-eastern Iberian Peninsula",Spain,Europe,41.15,-5.03333,Terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Aves,Passeriformes,Atrichornithidae,Atrichornis,clamosus,Noisy scrub-bird,"Albany Management Zone, Australia",Australia,Oceania,-34.8,118.01667,Terrestrial,Australasia,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Mammalia,Carnivora,Felidae,Felis,silvestris,Wild cat,"Aragón region, North-eastern Iberian Peninsula",Spain,Europe,41.15,-5.03333,Terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Aves,Gruiformes,Gruidae,Leucogeranus,leucogeranus,Siberian crane,Poyang Lake,China,Asia,29.05,116.08333,Freshwater,NULL,NULL,Palearctic,Temperate floodplain rivers and wetlands,NULL,NULL,NULL
Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red fox,"Aragón region, North-eastern Iberian Peninsula",Spain,Europe,41.15,-5.03333,Terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Mammalia,Carnivora,Mustelidae,Martes,foina,Stone marten,"Aragón region, North-eastern Iberian Peninsula",Spain,Europe,41.15,-5.03333,Terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Mammalia,Carnivora,Mustelidae,Meles,meles,European badger,"Aragón region, North-eastern Iberian Peninsula",Spain,Europe,41.15,-5.03333,Terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Aves,Ciconiiformes,Ardeidae,Ardea,alba,Great white egret,Hong Kong,Hong Kong,Asia,22.43333,114.05,Freshwater,NULL,NULL,Indo-Malayan,Tropical and subtropical floodplain rivers and wetland complexes,NULL,NULL,NULL
Aves,Ciconiiformes,Ardeidae,Egretta,garzetta,Little egret,Hong Kong,Hong Kong,Asia,22.43333,114.05,Freshwater,NULL,NULL,Indo-Malayan,Tropical and subtropical floodplain rivers and wetland complexes,NULL,NULL,NULL
Aves,Gruiformes,Gruidae,Grus,grus,Common crane,"Orellana area, Extremadura, Spain",Spain,Europe,39.03333,-5.48333,Freshwater,NULL,NULL,Palearctic,Temperate floodplain rivers and wetlands,NULL,NULL,NULL
